index,title,original_language,release_date,popularity,vote_average,vote_count,overview,
9956,Hardware,en,14/09/1990,12.648,5.9,245,"Mark 13 is a government-built killing machine programmed with artificial intelligence, able to repair and recharge itself from any energy source. Through a series of coincidences, the cyborg's head ends up in the home of a sculptress as a bizarre Christmas present from her boyfriend. Once inside its new home, the cyborg promptly reconstructs the rest of its body using a variety of household utensils and proceeds to go on a murderous rampage.",
9957,Bug,en,11/11/2006,12.647,6.1,465,"In Oklahoma, Agnes, a lonely waitress living in an isolated and dilapidated roadside motel, meets Peter, a quiet and mysterious man with whom she establishes a peculiar relationship.",
9958,Billie Eilish: The World's a Little Blurry,en,26/02/2021,12.646,8.4,271,"This documentary offers a deeply intimate look at extraordinary teenager Billie Eilish. Award-winning filmmaker R.J. Cutler follows her journey on the road, onstage, and at home with her family as the writing and recording of her debut album changes her life.",
9959,Z for Zachariah,en,13/08/2015,12.646,5.7,855,"In the wake of a nuclear war, a young woman survives on her own, fearing she may actually be the proverbial last woman on earth, until she discovers the most astonishing sight of her life: another human being. A distraught scientist, heâ€™s nearly been driven mad by radiation exposure and his desperate search for others. A fragile, imperative strand of trust connects them. But when a stranger enters the valley, their precarious bond begins to unravel.",
9960,First They Killed My Father,en,18/02/2017,12.645,7.4,609,A 5-year-old girl embarks on a harrowing quest for survival amid the sudden rise and terrifying reign of the Khmer Rouge in Cambodia.,
9961,Awakening the Zodiac,en,09/06/2017,12.645,5.1,111,"The story follows a down-on-their-luck couple who discovers a serial killer's film reels. They decide to take the law into their own hands, risking everything for the chance at a $100,000 reward. It isn't long until they find themselves in the killer's lethal cross-hairs.",
9962,Catch That Kid,en,06/02/2004,12.645,5.6,275,"Athletic twelve-year-old Maddy shares an enthusiasm for mountain climbing with her father Tom. Unfortunately, Tom suffers a spinal injury while scaling Mount Everest, and his family is unable to afford the surgery that can save him. Maddy decides to get the money for her father's operation by robbing a high-security bank. She relies on her climbing skills and help from her friends to pull it off successfully.",
9963,Ramona and Beezus,en,23/07/2010,12.644,6.5,724,"Ramona is a little girl with a very big imagination and a nose for mischief. Her playful antics keep everyone in her loving family on their toes, including her older sister Beezus, who's just trying to survive her first year of high school. Through all the ups and downs of childhood, Ramona and Beezus learn that anything's possible when you believe in yourself and rely on each other.",
9964,Incarnate,en,01/12/2016,12.641,5.4,506,An exorcist comes up against an evil from his past when he uses his skills to enter the mind of a nine year old boy.,
9965,So Close,cn,14/05/2002,12.641,6.8,202,A conflict of interest between two high-kicking assassin sisters is complicated as they're pursued by the criminals who hired them and an equally high-kicking female cop.,
9966,Swan Song,en,17/12/2021,12.64,7.2,416,"In the near future, Cameron Turner is diagnosed with a terminal illness. Presented with an experimental solution to shield his wife and son from grief, he grapples with altering their fate.",
9967,Yellowbeard,en,24/06/1983,12.64,5.4,126,"For years Yellowbeard had looted the Spanish Main, making men eat their lips and swallow their hearts. Caught and convicted for tax evasion, he's sentenced to 20 years in St. Victim's Prison for the Extremely Naughty. In a scheme to confiscate his fabulous treasure, the Royal Navy allows him to escape and follows him, where saucy tarts, lisping demigods and some awful puns and punishments await.",
9968,Confidential Assignment 2: International,ko,07/09/2022,12.638,7.4,28,"Follows Rim Chul Ryung heading back to South Korea in pursuit of a brutal and secret criminal organization. He teams up again with Kang Jin Tae, who volunteers to work with the North Korean in order to get back on the investigation team after a mistake landed him in the cyber crime department.",
9969,Saint Maud,en,27/12/2019,12.638,6.6,593,"Having recently found God, self-effacing young nurse Maud arrives at a plush home to care for Amanda, a hedonistic dancer left frail from a chronic illness. When a chance encounter with a former colleague throws up hints of a dark past, it becomes clear there is more to sweet Maud than meets the eye.",
9970,"You, Me and Dupree",en,13/07/2006,12.638,5.6,1233,"After standing in as best man for his longtime friend Carl Petersen, Randy Dupree loses his job, becomes a barfly and attaches himself to the newlywed couple almost permanently -- as their houseguest. But the longer Dupree camps out on their couch, the closer he gets to Carl's bride, Molly, leaving the frustrated groom wondering when his pal will be moving out.",
9971,The Best of Youth,it,22/06/2003,12.637,8.1,470,"Spanning nearly four decades, this generational epic follows two Italian brothers from a middle-class family through some of the most significant events of postwar Italian history after their life paths diverge thanks to one fateful encounter during the summer of 1966.",
9972,Special Delivery,ko,12/01/2022,12.636,7,97,"Eun-ha, who is a normal junkyard employee, secretly works as a delivery clerk that deals with unusual delivery requests. One day, Eun-ha heads to Seoul to pick up a client who is involved in a gambling crime that wants to flee overseas. However, Eun-ha meets the client's young son at the pick-up point, instead of the client himself. Kyeong-pil, a current police officer who is actually masterminding the whole gambling crime, chases after the missing child who has the security key to the bank account that holds 30 million dollars.",
9973,Pound of Flesh,en,07/05/2015,12.635,5.7,202,"In China to donate his kidney to his dying niece, former black-ops agent Deacon awakes the day before the operation to find he is the latest victim of organ theft. Stitched up and pissed-off, Deacon descends from his opulent hotel in search of his stolen kidney and carves a blood-soaked path through the darkest corners of the city. The clock is ticking for his niece and with each step he loses blood.",
9974,The Land Before Time XI: Invasion of the Tinysauruses,en,11/01/2005,12.635,6.2,170,"Littlefoot and his friends return in another adventure. But this time, they aren't the smallest dinosaurs in the valley anymore.",
9975,Rock'n Roll,fr,15/02/2017,12.633,5.2,706,"Guillaume Canet is told by a young co-star that he's no longer Rock'n' Roll and can't sell films anymore. He then tries to prove her wrong and gets help from his girlfriend, Marion Cotillard.",
9976,Heart and Souls,en,13/08/1993,12.633,6.9,347,"A businessman is reunited with the four lost souls who were his guardian angels during childhood, all with a particular purpose to joining the afterlife.",
9977,Little White Lies,fr,20/10/2010,12.632,7.1,1444,"Despite a traumatic event, a group of friends decide to go ahead with their annual beach vacation. Their relationships, convictions, sense of guilt and friendship are sorely tested. They are finally forced to own up to the little white lies they've been telling each other.",
9978,The Pope: Answers,es,05/04/2023,12.631,7.6,44,"Ten young people from all over the world meet in Rome with Pope Francis with the aim of talking and conveying to him the main concerns of their generation. What awaits them is an unprecedented meeting, a face-to-face conversation, and a unique event.",
9979,Devdas,hi,11/07/2002,12.63,7.5,295,"After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain.",
9980,Fritz the Cat,en,12/04/1972,12.63,6.1,281,"A swinging, hypocritical college student cat raises hell in a satirical vision of the 1960s.",
9981,Class,en,22/07/1983,12.629,5.9,150,"Naive Midwestern prep student Jonathan bonds with his more worldly roommate, Skip, who takes the small-town boy under his wing. At Skip's urging, the inexperienced Jonathan is emboldened to seek out older women in the cocktail lounges of nearby Chicago, where he meets and beds the alluring Ellen, who unfortunately turns out to be Skip's mother. The division between the friends is further deepened when a cheating scandal engulfs the school.",
9982,The Informant!,en,17/09/2009,12.629,6.1,782,"A rising star at agri-industry giant Archer Daniels Midland (ADM), Mark Whitacre suddenly turns whistleblower. Even as he exposes his companyâ€™s multi-national price-fixing conspiracy to the FBI, Whitacre envisions himself being hailed as a hero of the common man and handed a promotion.",
9983,Mega Shark vs. Giant Octopus,en,19/05/2009,12.628,3.8,224,The California coast is terrorized by two enormous prehistoric sea creatures as they battle each other for supremacy of the sea.,
9984,Between Two Ferns: The Movie,en,20/09/2019,12.627,6,768,"Galifianakis dreamed of becoming a star. But when Will Ferrell discovered his public access TV show, 'Between Two Ferns' and uploaded it to Funny or Die, Zach became a viral laughing stock. Now Zach and his crew are taking a road trip to complete a series of high-profile celebrity interviews and restore his reputation.",
